,wl,Paint Chip 1 - Unicorn Blue,Paint Chip 2 - Rich Plum,Paint Chip 3 - Nocturnal Sea,Paint Chip 4 - Calypso Ruffel,Paint Chip 5 - Hyacynth,Paint Chip 6 - Sun Valley,Paint Chip 7 - Continental Blue,Paint Chip 8 - Carnival Red,Paint Chip 9 - Bohemian Blue,Paint Chip 10 - Fire Engine Red,Paint Chip 11 Lucky Irish,Paint Chip 12 Roanoke Red,Paint Chip 13 Paris Night,Paint Chip 14 Nectarine,Paint Chip 15 Ecudor,Paint Chip 16 Wild Mint,Paint Chip 17 Primrose,Paint Chip 18 Oakheart,Paint Chip 19 Slate Grey
58,438,0.323091328125,0.273676875,0.0855003828125,0.27768046875,0.4036578125,0.112627382812,0.313518359375,0.111645875,0.18000078125,0.0693064609375,0.0768879765625,0.0582860898437,0.136575664062,0.0816854257813,0.0771365507812,0.0606826796875,0.0734053398437,0.0725125898438,0.174546835937
59,439,0.32609512207,0.272387006836,0.0859274626465,0.275848649902,0.402265893555,0.112697911377,0.318739785156,0.11029477002,0.18152753418,0.0688095163574,0.077319277832,0.0582718526611,0.136387296143,0.0813288616943,0.0773419154053,0.060951137207,0.0733267359619,0.0730759217529,0.174961990967
60,440,0.32917,0.27106,0.086339,0.27409,0.40079,0.1128,0.32421,0.10898,0.18295,0.068386,0.077756,0.058228,0.13618,0.080984,0.077362,0.06122,0.073346,0.073661,0.17539
61,441,0.332322696533,0.26969741333,0.0867354216309,0.272415905762,0.399229887695,0.112923302002,0.329905842285,0.107702189331,0.184247266846,0.068039569458,0.0781973085938,0.0581529248047,0.135951685791,0.0806497950439,0.0771860722656,0.0614892542725,0.073459791748,0.074263736084,0.175827501221
62,442,0.335563242188,0.268302539063,0.0871193203125,0.27083078125,0.397585625,0.113057382813,0.335795625,0.106459902344,0.185403632812,0.0677685195313,0.0786442109375,0.0580473828125,0.135700507812,0.0803255742188,0.0768165234375,0.0617594101562,0.073660015625,0.0748778203125,0.176269726563
63,443,0.338990755615,0.266898841553,0.0875228137207,0.269168879395,0.39584831543,0.1131877771,0.34183704834,0.105243142212,0.186429827881,0.0674985423584,0.0791238349609,0.0579510058594,0.135426580811,0.0801053236084,0.0764142744141,0.0620257891846,0.0738876867676,0.0754760070801,0.176694730225
64,444,0.3427,0.26551,0.087978,0.26727,0.39401,0.1133,0.34798,0.10404,0.18734,0.067154,0.079663,0.057903,0.13513,0.080075,0.076142,0.062285,0.074082,0.07603,0.17708
65,445,0.346698187256,0.264140821533,0.0884876014404,0.265136021729,0.392077041016,0.113396810303,0.354182438965,0.10285418042,0.18812864502,0.0667389534912,0.0802631689453,0.0579041884766,0.134810966797,0.0802381240234,0.0760097087402,0.0625375844727,0.0742381894531,0.0765372241211,0.17742305542
66,446,0.350982304687,0.262794960938,0.0890521679688,0.262783554688,0.39005796875,0.113483320313,0.3603975,0.101689515625,0.188791875,0.0662618632812,0.0809235859375,0.0579524140625,0.134469765625,0.080586703125,0.076018203125,0.06278546875,0.0743541328125,0.076996421875,0.177722382812
67,447,0.355487022705,0.261464251709,0.0896567711182,0.260457156982,0.387954111328,0.113506182861,0.36646763916,0.100511141846,0.189323776855,0.0657855059814,0.0816344667969,0.0580111445313,0.134101035156,0.0809451982422,0.0760664963379,0.0630391694336,0.0744428896484,0.0773946879883,0.177985367432
