,wl,Macbeth - Dark Skin,Macbeth - Light Skin,Macbeth - Blue Sky,Macbeth - Foilage,Macbeth - Blue Flower,Macbeth - Bluish Green,Macbeth - Orange,Macbeth - Purplish Blue,Macbeth - Moderate Red,Macbeth - Purple,Macbeth - Yellow Green,Macbeth - Orange Yellow,Macbeth - Blue,Macbeth - Green,Macbeth - Red,Macbeth - Yellow,Macbeth - Magenta,Macbeth - Cyan,Macbeth - White,Macbeth - Neutral-8,Macbeth - Neutral-6.5,Macbeth - Neutral-5,Macbeth - Neutral-3.5,Macbeth - Black
316,696,0.27222,0.65336,0.097104,0.19438,0.49671,0.23681,0.59807,0.11286,0.57481,0.31373,0.36477,0.65467,0.044054,0.10373,0.65862,0.74111,0.75296,0.082361,0.8767,0.5656,0.34835,0.19206,0.095437,0.031856
317,697,0.274565192871,0.656643293457,0.0970050900879,0.199969438477,0.497563845215,0.237387104492,0.598693081055,0.112959361572,0.574746268311,0.318179244385,0.365627675781,0.655221549072,0.044204888916,0.104115566406,0.658865268555,0.741889693604,0.753392703857,0.0821945268555,0.876714926758,0.565590804443,0.34820894165,0.191966331787,0.095408052124,0.0318876737061
318,698,0.27680375,0.659681328125,0.0969181171875,0.205158359375,0.498235390625,0.23785765625,0.599302265625,0.113112851563,0.574632695312,0.322349257813,0.36636921875,0.655647382813,0.0443585078125,0.104441171875,0.65909015625,0.742651367188,0.753657539062,0.08204103125,0.87675671875,0.565654257812,0.348067460938,0.191879257813,0.0953924101562,0.0319238398438
319,699,0.278996447754,0.662593591309,0.0968345339355,0.210121762695,0.498803391113,0.238253930664,0.599884936523,0.113309901123,0.574504849854,0.326388944092,0.367015429688,0.656015701904,0.044517588623,0.104735751953,0.659284516602,0.743371258545,0.7538344104,0.0819020395508,0.876792553711,0.565723243408,0.347932225342,0.191795137939,0.0953793428955,0.0319598062744
320,700,0.28121,0.66551,0.096746,0.21505,0.49935,0.23861,0.60043,0.11354,0.5744,0.33046,0.36759,0.6564,0.044685,0.10503,0.65944,0.74403,0.75401,0.081779,0.87679,0.56573,0.34781,0.19171,0.095358,0.031991
321,701,0.283449669189,0.668428607178,0.0966515180664,0.219924541016,0.4998802771,0.238923133545,0.600937316895,0.113801807861,0.574318654785,0.334568140869,0.368088652344,0.656798885498,0.0448606956787,0.10532135376,0.659554962158,0.744618459473,0.75418777832,0.0816740594482,0.87674821167,0.565670938721,0.347699030762,0.191623599854,0.0953278381348,0.0320170412598
322,702,0.285721679688,0.671346992188,0.096550703125,0.224724765625,0.500396523438,0.239189492187,0.60140875,0.114094804687,0.574259609375,0.338718867187,0.36850734375,0.657209882812,0.0450445742188,0.105606210937,0.659629570312,0.745131640625,0.75437078125,0.0815894023437,0.876668867187,0.565546757812,0.347596953125,0.191535664062,0.0952889609375,0.0320379375
323,703,0.288004759521,0.674226798096,0.0964543354492,0.229388164063,0.50087756958,0.239391256104,0.601865651855,0.11441762085,0.574239265137,0.342880076904,0.36885265625,0.657623912354,0.0452331182861,0.105878328857,0.659689437256,0.745613933105,0.754558803711,0.0815239595947,0.876579849854,0.565380765381,0.347501604004,0.191447420654,0.0952467507324,0.0320578337402
324,704,0.29028,0.67703,0.096373,0.23385,0.5013,0.23951,0.60233,0.11477,0.57427,0.34702,0.36913,0.65803,0.045423,0.10613,0.65976,0.74611,0.75475,0.081477,0.87651,0.5652,0.34741,0.19136,0.095207,0.032081
325,705,0.292553443604,0.679758907471,0.0963070089111,0.238104901123,0.50167192749,0.23954666626,0.602804156494,0.115149708252,0.574354093018,0.351145863037,0.369342064209,0.658432368164,0.0456139759521,0.1063612854,0.659844576416,0.746622235107,0.75495217041,0.0814501494141,0.876459290771,0.565003548584,0.347321807861,0.191273256836,0.0951692431641,0.0321073049316
326,706,0.294833632813,0.682417617188,0.0962558945312,0.242148945313,0.502001914062,0.239503242188,0.603289492187,0.115555039063,0.574490195313,0.355265898438,0.369490742187,0.6588346875,0.0458061132812,0.106571757812,0.659944960937,0.747150585938,0.755171953125,0.0814453984375,0.876426289063,0.564791445313,0.347236445313,0.191186953125,0.095132875,0.032136390625
327,707,0.297236072998,0.685121810303,0.0962042591553,0.246059654541,0.502300733643,0.239380301514,0.603785389404,0.116005687256,0.574618431396,0.359540889893,0.369546075439,0.659242280273,0.046006756958,0.106746121826,0.660035262451,0.747648463135,0.755441589355,0.0814735332031,0.876405557861,0.56457881958,0.347135013428,0.19109456543,0.0950978974609,0.0321668376465
328,708,0.29987,0.68798,0.096137,0.24991,0.50258,0.23918,0.60429,0.11652,0.57468,0.36412,0.36948,0.65966,0.046223,0.10687,0.66009,0.74807,0.75579,0.081545,0.87639,0.56438,0.347,0.19099,0.095064,0.032197
329,709,0.302745615234,0.690994825439,0.0960544302979,0.253698410645,0.502840939941,0.238907161865,0.604804597168,0.117097843018,0.574671496582,0.36901121582,0.369297818604,0.660089549561,0.046455206543,0.106943781738,0.660110345459,0.748415964355,0.756222565918,0.0816605396729,0.876383000488,0.564200142822,0.346830855713,0.190873325195,0.0950316782227,0.0322270473633
330,710,0.305861640625,0.694156289063,0.0959582148438,0.257415546875,0.503084296875,0.238568398438,0.605329609375,0.117736835937,0.574594375,0.374204296875,0.369009023438,0.660532148438,0.046703109375,0.10696984375,0.660099492188,0.74869078125,0.756740703125,0.0818198085938,0.876387734375,0.564043164062,0.346629335938,0.190745390625,0.095001296875,0.0322571328125
331,711,0.309064511719,0.697287288818,0.0958614637451,0.260893845215,0.503336237793,0.238164825439,0.605862463379,0.118402386475,0.574491940918,0.379432602539,0.368642371826,0.660976031494,0.0469569477539,0.106955495605,0.660093966064,0.748950148926,0.757280725098,0.0820207176514,0.876377966309,0.563897127686,0.346420467529,0.190614692383,0.0949674213867,0.0322845864258
332,712,0.3122,0.70021,0.095778,0.26397,0.50362,0.2377,0.6064,0.11906,0.57441,0.38443,0.36823,0.66141,0.047207,0.10691,0.66013,0.74925,0.75778,0.08226,0.87633,0.56375,0.34623,0.19049,0.094925,0.032307
333,713,0.31526340332,0.702911779785,0.0957080361328,0.266638123779,0.503938291016,0.237181652832,0.60694046875,0.119707392578,0.574347174072,0.38918137085,0.367781513672,0.661831188965,0.0474530178223,0.106836342773,0.660209038086,0.749590998535,0.758231652832,0.0825379705811,0.876240842285,0.563601248779,0.346057841797,0.190372421875,0.0948735946045,0.0323240483398
334,714,0.318259921875,0.70539109375,0.095651234375,0.268906992188,0.5042903125,0.23661953125,0.60748171875,0.1203446875,0.574300429687,0.393689726563,0.36730734375,0.66223734375,0.0476954453125,0.106738515625,0.660329765625,0.74996984375,0.758632890625,0.0828544023437,0.876110390625,0.563450664062,0.34590234375,0.190262734375,0.0948133242188,0.0323357265625
335,715,0.321300493164,0.707753513184,0.0956134072266,0.270920718994,0.504619482422,0.236060397949,0.608019667969,0.120991787109,0.574274285889,0.398136173096,0.366847529297,0.662662932129,0.0479420847168,0.10663909668,0.660468510742,0.750362106934,0.759070817871,0.0831929078369,0.876010456543,0.563330318604,0.345768857422,0.190159248047,0.0947552115479,0.0323478237305
336,716,0.3245,0.71011,0.095599,0.27283,0.50487,0.23555,0.60855,0.12167,0.57427,0.40271,0.36644,0.66314,0.048201,0.10656,0.6606,0.75074,0.75963,0.083538,0.87601,0.56327,0.34566,0.19006,0.09471,0.032366
337,717,0.327863096924,0.712460592041,0.0956082873535,0.274646033936,0.505041136475,0.235101860352,0.609073286133,0.122382236328,0.574292301025,0.407418638916,0.366099752197,0.663670706787,0.04847371521,0.106507071533,0.660726171875,0.751106989746,0.760314570313,0.0838899180908,0.876110330811,0.563268931885,0.345577009277,0.18996508667,0.0946781723633,0.0323907313232
338,718,0.331390273438,0.714802460937,0.0956401796875,0.276375507813,0.505136835938,0.234726640625,0.609590625,0.1231315625,0.574344101563,0.412264257812,0.365838632812,0.664253789062,0.0487616367188,0.106484492188,0.660849921875,0.75146671875,0.76112203125,0.0842508554687,0.876305898437,0.563322539062,0.345519140625,0.189874414062,0.0946593046875,0.0324220664062
339,719,0.335009827881,0.717060262451,0.0956780241699,0.277978013916,0.505195889893,0.234390532227,0.610082026367,0.123899677734,0.57437055542,0.417127283936,0.365625701904,0.664809298096,0.0490555675049,0.106479818115,0.660960537109,0.751776896973,0.761907480469,0.0846337591553,0.876508843994,0.563374901123,0.345443820801,0.189794215088,0.0946410610352,0.03245284729
340,720,0.33865,0.71916,0.095705,0.27941,0.50526,0.23406,0.61053,0.12467,0.57432,0.42189,0.36543,0.66526,0.049347,0.10648,0.66105,0.752,0.76253,0.085053,0.87663,0.56337,0.34531,0.18973,0.094611,0.032476
341,721,0.342304337158,0.721100670166,0.0957197747803,0.2806847229,0.505328729248,0.23374248291,0.610932644043,0.125445024414,0.574187940674,0.426550257568,0.365260002441,0.665602219238,0.0496368231201,0.106489086914,0.661115281982,0.752131899414,0.762981638184,0.0855090682373,0.876669492188,0.563303809814,0.3451165625,0.189681107178,0.0945693189697,0.0324913956299
342,722,0.345969257812,0.722886445312,0.0957220898438,0.281816445312,0.505400507813,0.233448125,0.611290703125,0.12622953125,0.573975117187,0.431113164062,0.36512671875,0.665839296875,0.0499269726562,0.106511875,0.661155351563,0.752173984375,0.763266015625,0.0860023085938,0.876633359375,0.563176054688,0.3448665625,0.189645898438,0.0945170742188,0.0324994257813
343,723,0.349789241943,0.724647557373,0.0957140567627,0.282862879639,0.505498052979,0.23324251709,0.611663928223,0.127082260742,0.5737802771,0.435824825439,0.365082634277,0.666069099121,0.0502418062744,0.106558569336,0.661225933838,0.752229692383,0.763572785645,0.0865536968994,0.876538818359,0.563012103271,0.344595195312,0.189610255127,0.0944601121826,0.0325082435303
344,724,0.3539,0.72651,0.095699,0.28388,0.50564,0.23319,0.61211,0.12806,0.5737,0.44092,0.36518,0.66639,0.050605,0.10664,0.66138,0.7524,0.76409,0.087182,0.87641,0.56284,0.34434,0.18956,0.094405,0.032526
345,725,0.358298679199,0.728481655273,0.0956762902832,0.284876741943,0.505832410889,0.233298034668,0.612634991455,0.129170064697,0.573738572998,0.446404987793,0.365428083496,0.666804674072,0.0510196201172,0.106759356689,0.661622463379,0.75269126709,0.764824981689,0.0878910065918,0.876243587646,0.562659101562,0.344101628418,0.189495172119,0.0943515335693,0.0325527861328
346,726,0.36296671875,0.730559609375,0.095645953125,0.285857539062,0.506077773438,0.2335690625,0.613240195313,0.130415039063,0.573892460938,0.452262265625,0.36583296875,0.667309414063,0.051486875,0.106919726562,0.661953203125,0.7531015625,0.765771757813,0.088681984375,0.876038945312,0.56246890625,0.343879609375,0.189416992187,0.0942994960938,0.0325881171875
347,727,0.367651066895,0.732567358398,0.0956174382324,0.286767169189,0.506301060791,0.233956066895,0.613842454834,0.131727440186,0.574050250244,0.45813842041,0.366366662598,0.667840252686,0.0519794033203,0.107127874756,0.662281921387,0.753521350098,0.766740472412,0.0895091789551,0.875888780518,0.562269355469,0.343691135254,0.189322342529,0.0942566690674,0.0326262128906
348,728,0.3721,0.73433,0.0956,0.28755,0.50643,0.23441,0.61436,0.13304,0.5741,0.46368,0.367,0.66833,0.05247,0.10739,0.66252,0.75384,0.76754,0.090328,0.87588,0.56206,0.34355,0.18921,0.09423,0.032661
349,729,0.376296611328,0.73584310791,0.0955953465576,0.288210806885,0.50646057251,0.234933358154,0.614789327393,0.134357716064,0.574039737549,0.468871385498,0.36773706543,0.668779627686,0.0529605751953,0.107708360596,0.66266199707,0.75405446167,0.768167297363,0.0911423651123,0.876014920654,0.561843798828,0.343460249023,0.189077940674,0.0942202572021,0.0326923754883
350,730,0.380241953125,0.73711515625,0.0956045351563,0.288758320312,0.506395273438,0.235530664063,0.615132929687,0.135691054688,0.573874804687,0.473721054687,0.368583046875,0.669192539062,0.05345525,0.108084335937,0.6627090625,0.754168164062,0.76863125,0.0919608945313,0.876285117188,0.56162359375,0.3434228125,0.188925195312,0.0942271601563,0.0327204453125
351,731,0.384091367187,0.738311364746,0.0956194625244,0.289238670654,0.506337508545,0.236224771729,0.615497913818,0.137090462646,0.573684144287,0.478454527588,0.369575268555,0.669580924072,0.0539777607422,0.108520931396,0.662771870117,0.754264840088,0.769081140137,0.0928142388916,0.876583843994,0.561404150391,0.343386196289,0.188790443115,0.0942359737549,0.0327457192383
352,732,0.38801,0.7396,0.095632,0.2897,0.50639,0.23704,0.61599,0.13861,0.57355,0.48331,0.37075,0.66996,0.054553,0.10902,0.66296,0.75443,0.76967,0.093737,0.8768,0.56119,0.3433,0.18871,0.094232,0.032769
353,733,0.391997462158,0.740982897949,0.0956418343506,0.290147191162,0.506553950195,0.237977601318,0.616610412598,0.140260023193,0.573471219482,0.488289195557,0.372109265137,0.670326192627,0.0551862637939,0.109581962891,0.663276486816,0.754660753174,0.770396739502,0.0947388928223,0.876930539551,0.560982017822,0.343159815674,0.188684707031,0.0942140786133,0.0327900651855
354,734,0.396049648438,0.74245234375,0.0956490273437,0.290583476563,0.5068228125,0.239038398437,0.617352109375,0.142050742187,0.573443085938,0.493387304687,0.373651875,0.670676757813,0.0558825507812,0.11020625,0.663716484375,0.754949257812,0.771252148437,0.0958309609375,0.87697765625,0.560780507812,0.342965039062,0.188711171875,0.094182,0.032808859375
355,735,0.400120306396,0.74392473877,0.0956683956299,0.291011134033,0.507116166992,0.240217589111,0.618110788574,0.143988741455,0.57344947876,0.498538201904,0.375341281738,0.671036917725,0.0566329222412,0.110879912109,0.664160808105,0.755248997803,0.772165482178,0.0970439851074,0.876915964355,0.560588983154,0.342775345459,0.188732158203,0.0941473666992,0.0328267141113
356,736,0.40416,0.74531,0.095714,0.29143,0.50735,0.24151,0.61878,0.14608,0.57347,0.50367,0.37714,0.67143,0.057429,0.11159,0.66449,0.75551,0.77306,0.098408,0.87673,0.56041,0.34265,0.18869,0.094122,0.032845
357,737,0.408166696777,0.746608670654,0.0957860042725,0.291844293213,0.507523015137,0.242910511475,0.619354061279,0.148329008789,0.573506697998,0.508781268311,0.379039255371,0.671857263184,0.0582747072754,0.112333304443,0.66470114502,0.755732160645,0.773933996582,0.0999324005127,0.876416767578,0.56024407959,0.342588206787,0.188584227295,0.0941062623291,0.0328638770752
358,738,0.412137734375,0.747822695313,0.0958830976562,0.292256445313,0.507637265625,0.244412851562,0.619832617187,0.150738515625,0.573560039062,0.513869179687,0.38103078125,0.67231703125,0.05917490625,0.113107148437,0.664799140625,0.7559165625,0.774786328125,0.101623863281,0.875981796875,0.5600909375,0.342584726562,0.188418476563,0.0940999882813,0.0328834335937
359,739,0.41616442627,0.748952056885,0.0959813516846,0.292660653076,0.507699221191,0.246060157471,0.620271734619,0.153375649414,0.57359541626,0.519039957275,0.38316545166,0.672768303223,0.0601706403809,0.113925089111,0.664879450684,0.756044206543,0.775614997559,0.10350915271,0.875538457031,0.559934709473,0.342581680908,0.18820737915,0.0940903846436,0.0329043099365
360,740,0.42033,0.75,0.096057,0.29305,0.50772,0.24789,0.62073,0.1563,0.57358,0.52439,0.38549,0.67317,0.061301,0.1148,0.66504,0.7561,0.77642,0.10561,0.8752,0.55976,0.34252,0.18797,0.094065,0.032927
361,741,0.424631063232,0.750965030518,0.0961091647949,0.293425318604,0.507697154541,0.249895158691,0.621206895752,0.159512979736,0.573510070801,0.529910648193,0.387992862549,0.67351934082,0.0625695587158,0.115728220215,0.665281304932,0.756082874756,0.777194628906,0.10793043396,0.87497317627,0.559566555176,0.342398226318,0.187706936035,0.0940237790527,0.0329516663818
362,742,0.429052773437,0.751848476563,0.0961387578125,0.293787304687,0.507630976563,0.252061171875,0.621700273437,0.163006367188,0.573385390625,0.535579101562,0.390655273437,0.673816171875,0.0639758398438,0.116704375,0.665598945312,0.755995976562,0.77793359375,0.110469300781,0.87485625,0.559355625,0.342218242188,0.187420703125,0.09396771875,0.0329783398437
363,743,0.433384752197,0.752641732178,0.0961612111816,0.294120281982,0.507551795654,0.254274050293,0.622155560303,0.166638988037,0.573240212402,0.541149864502,0.393370296631,0.674087133789,0.0654775228271,0.117705998535,0.665942860107,0.755878184814,0.778625273438,0.113166181763,0.874825964355,0.559139147949,0.34199835083,0.18715713623,0.093915092041,0.0330050870361
364,744,0.43742,0.75334,0.096193,0.29441,0.50749,0.25642,0.62252,0.17027,0.57311,0.54638,0.39603,0.67436,0.067031,0.11871,0.66626,0.75577,0.77926,0.11596,0.87485,0.55893,0.34176,0.18696,0.093884,0.03303
365,745,0.441141682129,0.753948032227,0.0962341416016,0.294656293945,0.507451419678,0.25848517334,0.622793355713,0.173890689697,0.572998485107,0.551247897949,0.398619171143,0.674635039062,0.0686367034912,0.119712358398,0.66655517334,0.755675303955,0.779837331543,0.118849578369,0.874935230713,0.558726937256,0.341504903564,0.186832084961,0.0938743175049,0.0330527280273
