,wl,"Lab Wall, 1994"
286,666,0.795050625
287,667,0.794709260254
288,668,0.79447
289,669,0.794335507813
290,670,0.794300859375
291,671,0.794281318359
292,672,0.79419
293,673,0.794025136719
294,674,0.793789921875
295,675,0.793488056641
296,676,0.79313
297,677,0.792711395264
298,678,0.792231601562
299,679,0.791774429932
300,680,0.79142
301,681,0.791175800781
302,682,0.7910415625
303,683,0.790916738281
304,684,0.7907
305,685,0.790390952148
306,686,0.78999578125
307,687,0.789579301758
308,688,0.78921
309,689,0.788884049072
310,690,0.788594726563
311,691,0.788359666748
312,692,0.78819
313,693,0.788090179443
314,694,0.788059882812
315,695,0.787985977783
316,696,0.78776
317,697,0.787375977783
318,698,0.786838632812
319,699,0.786278929443
320,700,0.78583
321,701,0.785494029541
322,702,0.785265273437
323,703,0.785090535889
324,704,0.78491
325,705,0.784731271973
326,706,0.784562421875
327,707,0.784342937012
328,708,0.78402
329,709,0.783587116699
330,710,0.783046171875
331,711,0.782558186035
332,712,0.78228
333,713,0.782215643311
334,714,0.782354960938
335,715,0.782550758057
336,716,0.78265
337,717,0.782647276611
338,718,0.782543554687
339,719,0.78235605835
340,720,0.78211
341,721,0.781806221924
342,722,0.781450976563
343,723,0.781053978271
344,724,0.78063
345,725,0.780175566406
346,726,0.779687578125
347,727,0.779337099609
348,728,0.77928
349,729,0.779522370605
350,730,0.7800490625
351,731,0.780525559082
352,732,0.78062
353,733,0.78031697876
354,734,0.779626210938
355,735,0.778758641357
356,736,0.77794
357,737,0.777175056152
358,738,0.776464453125
359,739,0.775798469238
360,740,0.77516
361,741,0.774554212646
362,742,0.773980273437
363,743,0.773493946533
364,744,0.77314
365,745,0.772911536865
366,746,0.772790351562
367,747,0.772562960205
368,748,0.77202
369,749,0.771172193604
370,750,0.770052695313
371,751,0.768661658936
372,752,0.76703
373,753,0.765133231201
374,754,0.762959882813
375,755,0.76118081665
376,756,0.76042
377,757,0.760710554199
378,758,0.762011015625
379,759,0.763202385254
380,760,0.76317
381,761,0.761835849609
382,762,0.7591965625
383,763,0.756126220703
384,764,0.75352
385,765,0.751376014404
386,766,0.749649179688
387,767,0.747646539307
388,768,0.74467
389,769,0.740766739502
390,770,0.736035585937
391,771,0.730858255615
392,772,0.72566
393,773,0.720475068885
394,774,0.715339186977
395,775,0.710724604831
396,776,0.70706
397,777,0.704341082618
398,778,0.702490716582
399,779,0.701226887861
400,780,0.7002
