,wl,Standard brown cardboard,Red file folder
167,547,0.245699664307,0.0794510946045
168,548,0.24702,0.080546
169,549,0.248304375,0.0817060466309
170,550,0.249552421875,0.0829334453125
171,551,0.250773740234,0.0842142902832
172,552,0.25198,0.085535
173,553,0.25317145752,0.0869006699219
174,554,0.2543490625,0.0883180625
175,555,0.255532409668,0.0898041191406
176,556,0.25674,0.091377
177,557,0.257976408691,0.093047272583
178,558,0.25924453125,0.0948263007812
179,559,0.260517751465,0.0967083743896
180,560,0.26177,0.09869
181,561,0.263000675049,0.100780258057
182,562,0.264211054688,0.1029903125
183,563,0.265446253662,0.105393460693
184,564,0.26675,0.10806
185,565,0.268123145752,0.111001258423
186,566,0.269562539062,0.114222074219
187,567,0.271015843506,0.117657313354
188,568,0.27243,0.12124
189,569,0.273801934814,0.124976269531
190,570,0.275131523438,0.12887625
191,571,0.276447474365,0.132967089844
192,572,0.27778,0.13728
193,573,0.279127619629,0.14182128418
194,574,0.280487890625,0.14659859375
195,575,0.281844304199,0.151644399414
196,576,0.28318,0.15699
197,577,0.284498190918,0.162659661865
198,578,0.285803515625,0.168677460937
199,579,0.287093967285,0.174977130127
200,580,0.28837,0.1815
201,581,0.289630804443,0.18824243042
202,582,0.290876835937,0.195207382813
203,583,0.292165362549,0.202703336182
204,584,0.29355,0.21102
205,585,0.295032740479,0.22016284668
206,586,0.296609179687,0.2301034375
207,587,0.298198797607,0.240390864258
208,588,0.29972,0.25057
209,589,0.301167518311,0.260608088379
210,590,0.302540742187,0.270499296875
211,591,0.303875308838,0.28046682373
212,592,0.30521,0.29075
213,593,0.306543699951,0.301330803223
214,594,0.307875195313,0.312186015625
215,595,0.309188980713,0.32324213623
216,596,0.31047,0.33442
217,597,0.311722486572,0.345724880371
218,598,0.312952382813,0.357163828125
219,599,0.314183436279,0.368734816895
220,600,0.31544,0.38044
221,601,0.316722897949,0.392245566406
222,602,0.31803125,0.404115
223,603,0.319384992676,0.416235214844
224,604,0.3208,0.42877
225,605,0.322277803955,0.441694071045
226,606,0.323816054688,0.454952617187
227,607,0.325345921631,0.468028443604
228,608,0.3268,0.48041
229,609,0.328173703613,0.492042282715
230,610,0.329468046875,0.502908125
231,611,0.330737770996,0.513286779785
232,612,0.33204,0.52348
233,613,0.333376018066,0.533474020996
234,614,0.334745078125,0.54325109375
235,615,0.336126960449,0.552741428223
236,616,0.3375,0.56187
237,617,0.338866497803,0.570647211914
238,618,0.340229179688,0.579084609375
239,619,0.341602305908,0.587252817383
240,620,0.343,0.59522
241,621,0.344420983887,0.602983132324
242,622,0.34586265625,0.610531875
243,623,0.34731833252,0.617805852051
244,624,0.34878,0.62474
245,625,0.350246491699,0.631333500977
246,626,0.35171625,0.637587578125
247,627,0.353170070801,0.643432993164
248,628,0.35459,0.64881
249,629,0.355972867432,0.653719071045
250,630,0.357317460937,0.658172539063
251,631,0.358648299561,0.662301402588
252,632,0.35999,0.66624
253,633,0.361346416016,0.670010880127
