,wl,The new S language,Combinatorial ALgorithms,Compilers (dragon),Compilers (blue book),Computer Organization (red book),Topology (green book),Data and Computer Communications (yellow book)
127,507,0.427438748779,0.249847817383,0.160465931396,0.608936080322,0.0644914454346,0.395113455811,0.444170968018
128,508,0.42166,0.24601,0.16166,0.6048,0.064346,0.39595,0.45637
129,509,0.415751075439,0.242071599121,0.162580865479,0.600543840332,0.0640852299805,0.396425092773,0.467600375977
130,510,0.409705507812,0.23803234375,0.163240039062,0.596170703125,0.0637165078125,0.396566875,0.47785171875
131,511,0.403521097412,0.233876584473,0.163623436279,0.591704216309,0.0632322163086,0.396395610352,0.487152963867
132,512,0.3972,0.22959,0.16372,0.58717,0.062625,0.39593,0.49555
133,513,0.390744294434,0.225169593506,0.163547122803,0.582567249756,0.0619066607666,0.395182070313,0.50305944458
134,514,0.38415953125,0.220613789062,0.163126757813,0.577894179688,0.0610904960938,0.39416171875,0.509710507813
135,515,0.377487365723,0.215966661377,0.162517471924,0.573190303955,0.0602092762451,0.392886269531,0.515584212646
136,516,0.37077,0.21127,0.16178,0.56849,0.059296,0.39137,0.52077
137,517,0.36403621582,0.206535588379,0.160940861816,0.563805579834,0.0583655039063,0.389628378906,0.525313181152
138,518,0.357316171875,0.201772734375,0.160026015625,0.559145195312,0.057431734375,0.38767546875,0.52926171875
139,519,0.350520102539,0.196861472168,0.159048171387,0.554367647705,0.0564851503906,0.385443398438,0.532761018066
140,520,0.34357,0.19169,0.15802,0.54934,0.055517,0.38287,0.53595
141,521,0.336486374512,0.186264771729,0.15696293457,0.544063294678,0.0545371027832,0.379964180908,0.538887468262
142,522,0.3293040625,0.180606289062,0.155898125,0.538553710937,0.0535566171875,0.376743789063,0.541621875
143,523,0.322346789551,0.174934764404,0.154905581055,0.533044903564,0.0526428649902,0.373361761475,0.544062922363
144,524,0.31593,0.16947,0.15406,0.52777,0.05186,0.36997,0.54612
145,525,0.31008182373,0.164231182861,0.153374455566,0.522744130859,0.0512151628418,0.366584594727,0.547832368164
146,526,0.30480265625,0.159222617187,0.152853046875,0.517966328125,0.0507087734375,0.363210859375,0.549247578125
147,527,0.299876086426,0.154330003662,0.152436394043,0.513297597656,0.0502855744629,0.35977340332,0.550538969727
148,528,0.29507,0.14943,0.15206,0.50859,0.049887,0.35619,0.55188
149,529,0.290376905518,0.144529901611,0.151720192871,0.503846221924,0.0495087158203,0.352468421631,0.553300125732
150,530,0.285792460937,0.139639039062,0.151413359375,0.499072460937,0.049147390625,0.348617539062,0.554817539062
151,531,0.28134824585,0.134780337646,0.151144758301,0.494304007568,0.0488210830078,0.344639552002,0.55642425415
152,532,0.27708,0.12998,0.15092,0.48958,0.048548,0.34054,0.5581
153,533,0.27295630249,0.125232456421,0.150728018799,0.484889934082,0.0483223132324,0.336314189453,0.559860169678
154,534,0.268944023437,0.120532355469,0.150556914063,0.480222578125,0.0481369765625,0.33195890625,0.561712773437
155,535,0.265015606689,0.115888978638,0.150382376709,0.475582185059,0.0479475119629,0.327519892578,0.563594239502
156,536,0.26114,0.11131,0.15018,0.47097,0.047711,0.32304,0.56544
157,537,0.257296719971,0.106800058838,0.149941914063,0.4663855896,0.0474191687012,0.31852567627,0.567239129639
158,538,0.253464023437,0.1023629375,0.149661640625,0.461826679687,0.0470670546875,0.313979296875,0.568983320312
159,539,0.249550579834,0.0979478942871,0.149324931641,0.457223448486,0.0467099475098,0.30930486084,0.570716051025
